نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,أصحاب سابقون,إضافات,النوع,سنة الاصدار,سعر السيارة بالشيكل
1,5,0,1,0.20170901731504387,99999,0,0,0,0,270,0.7272727272727318,0.05945511408686459
0,4,0,0,0.0021362716438048136,99999,1,1,1,1,239,0.836363636363642,0.0038933293822730874
1,4,0,1,0.1679784124128626,60000,0,1,0,0,390,0.8545454545454579,0.10400465317432984
0,4,0,1,0.12300427254328761,80000,0,0,0,0,300,0.8545454545454579,0.05695233099206317
1,5,0,1,0.20170901731504387,99999,0,1,0,0,407,0.6727272727272767,0.03192450004404898
0,4,0,1,0.15673487744546885,99999,0,1,0,0,183,0.6363636363636377,0.025916819503287652
0,4,0,0,0.11176073757589387,20000,0,1,0,0,424,0.8545454545454579,0.050945651564539764
1,4,0,0,0.21295255228243762,87000,1,1,1,1,603,0.8545454545454579,0.13403805031194688
0,4,0,0,0.26917022711940636,30000,1,1,1,1,499,0.8727272727272739,0.17408257982876957
0,4,0,0,0.1679784124128626,160000,0,1,0,0,111,0.7272727272727318,0.02691893385444614
0,4,0,0,0.1679784124128626,110000,0,0,0,0,320,0.8000000000000028,0.03793117947157239
1,1,0,1,0.19608724983134698,22000,0,1,0,0,343,0.6909090909090927,0.043937858899095794
1,4,0,2,0.21295255228243762,99999,0,1,0,0,372,0.7272727272727318,0.0714684729419114
0,4,0,1,0.15673487744546885,350000,0,0,0,0,607,0.6363636363636377,0.033926726519890114
1,4,0,0,0.1679784124128626,99999,1,0,1,1,270,0.8545454545454579,0.11902135174313837
0,4,0,2,0.1454913424780751,75000,0,1,0,0,593,0.836363636363642,0.05695233099206317
0,4,0,1,0.1679784124128626,99999,0,1,0,0,21,0.5454545454545435,0.024916707378605005
1,1,0,1,0.5277715313694625,700000,0,1,0,0,47,0.6545454545454537,0.05895455746790431
1,4,0,0,0.21295255228243762,55,0,1,0,0,598,0.8727272727272739,0.08798684136760077
1,5,0,1,0.20170901731504387,٤٠٠٠٠٠,1,1,1,1,270,0.6181818181818217,0.035928952995731255
0,4,0,1,0.1679784124128626,99999,0,0,0,0,179,0.5999999999999985,0.028921160330287278
0,4,0,1,0.1679784124128626,99999,0,0,0,0,144,0.5636363636363666,0.042936745661175224
